title,authors,description,category,averageRating,ratingsCount,thumbnail
Cry Wolf,Wilbur Smith,"The year is 1935, shortly before orld War II. From the sea to the schorching deserts of Africa to the peaks of it's treacherous mountains, where a dramatic struggle to stay alive awaits them ...",Fiction,4,2,http://books.google.com/books/content?id=TMgBNRU5JfAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Diamonds are Forever,Ian Fleming,,British,,,http://books.google.com/books/content?id=KUOB8eBsMBgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Skin Privilege,Karin Slaughter,"It's no simple case of murder. The charred remains of a woman have been found, and Detective Lena Adams is charged with homicide. The evidence leads Sara Linton - Grant Country's resident medical examiner/pediatrician - and her husband, police chief Jeffrey Tolliver, to those who are poisoning a small town with their sickening hatred.",Fiction,,,http://books.google.com/books/content?id=8GfMjPUExuIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Payment in Blood,Elizabeth George,Inspector Thomas Fynley of Scotland Yard is possessed by a fierce attraction to a murder suspect while investigating the savage slaying of a controversial playwright,Fiction,3.5,2,http://books.google.com/books/content?id=4KtdHlAt40cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Death Comes as the End,Agatha Christie,"Seeking peace after her husband's death, the Ka-priest's daughter Renisenb returns to her father's house on the banks of the Nile. But beneath the calm surface of his prosperous household lurk greed, lust and hate. When the grisly death of the beautiful and venomous concubine Nofret is dismissed as fate, Renisenb becomes increasingly convinced that the source of evil lurks within - and watches as the family's passion explode in murder!",Detective and mystery stories,,,http://books.google.com/books/content?id=DEZ-wQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Killing Floor,Lee Child,,Fiction,,,http://books.google.com/books/content?id=s-a4zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Dangerous Fortune,Ken Follett,"A great family of merchant bankers, infected by the poison of ambition and greed. For the Pilasters, sex and love are weapons in a war for power and wealth. One explosive secret becomes the weak link that can bring down a dynasty. In 1866, tragedy strikes at an exclusive public school. A pupil drowns in a mysterious accident involving several boys. Among them ate young High Pilaster; his cousin Edward, the weak, dissolute heir to the Pilaster banking fortune; and Micky Miranda, the darkly handsome son of a brutal South American landowner. The drowning and its aftermath initiate a spiralling circle of treachery that will last three decades and entwine many lives... Spanning the years when an empire tightens its grip on a faraway world and revolution begets a tide of violent change, A Dangerous Fortune portrays a family bound inexorably by a shared legacy, and brings us men and women swept towards a perilous climax where greed, fed by the shocking truth of a boy’s death, must be stopped – otherwise not just one man’s dreams, but those of a nation, will die.",Detective and mystery stories,,,http://books.google.com/books/content?id=xZ6gPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Cousin Rachel,Daphne Du Maurier,"Ambrose Ashley, Philip's cousin, guardian and god, married Rachel in Italy, and died there. Jealous of his marriage and grief-stricken by his death, Philip prepares to meet his cousin's widow with hatred in his heart",Fiction,,,http://books.google.com/books/content?id=Ak8cMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Case of the Creative Crime,Carolyn Keene,Nancy and Bess start hunting for an elusive suspect to save the Pennington Estate. Nancy's best lead comes from someone who wants to remain anonymous.,Artist colonies,,,http://books.google.com/books/content?id=F5LuM6C6klYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Clocks,Agatha Christie,"Hercule Poirot, the relentless Belgian detective, investigates when a body is found in Miss Millicent Pebmarsh's sitting room with four strange clocks set at 4:13.",Fiction,,,http://books.google.com/books/content?id=f2BBPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
